data,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
0_all,yolo12x,59.1,32,5,1,0.4031,0.7383,0.7299,0.6872,0.7079,1160,320,324,YOLOv12,large
0_all,yolo12x,59.1,128,5,1,0.5891,0.8701,0.9053,0.7832,0.8399,1160,262,67,YOLOv12,large
0_all,yolo12x,59.1,500,5,1,0.6391,0.9325,0.902,0.8828,0.8923,1160,118,122,YOLOv12,large
a1_t2s,yolo12x,59.1,32,5,1,0.0467,0.1291,0.3035,0.1523,0.2028,709,572,388,YOLOv12,large
a1_t2s,yolo12x,59.1,128,5,1,0.0891,0.1827,0.3822,0.2059,0.2676,709,531,428,YOLOv12,large
a1_t2s,yolo12x,59.1,500,5,1,0.1046,0.1998,0.4198,0.2144,0.2838,709,554,204,YOLOv12,large
a2_s2t,yolo12x,59.1,32,5,1,0.1832,0.4085,0.4893,0.4324,0.4591,451,212,292,YOLOv12,large
a2_s2t,yolo12x,59.1,128,5,1,0.2342,0.4318,0.664,0.4102,0.5071,451,273,61,YOLOv12,large
a2_s2t,yolo12x,59.1,500,5,1,0.3431,0.657,0.7181,0.6044,0.6564,451,164,117,YOLOv12,large
b_light,yolo12x,59.1,32,5,1,0.355,0.6315,0.7785,0.548,0.6432,436,198,54,YOLOv12,large
b_light,yolo12x,59.1,128,5,1,0.4792,0.7444,0.882,0.6399,0.7417,436,152,34,YOLOv12,large
b_light,yolo12x,59.1,500,5,1,0.5485,0.846,0.8659,0.7851,0.8235,436,85,69,YOLOv12,large
0_all,yolo11x,56.9,32,5,1,0.3806,0.6861,0.7896,0.6009,0.6824,1160,445,181,YOLOv11,large
0_all,yolo11x,56.9,128,5,1,0.5532,0.869,0.8954,0.7823,0.835,1160,216,130,YOLOv11,large
0_all,yolo11x,56.9,500,5,1,0.6238,0.93,0.9109,0.8405,0.8743,1160,123,161,YOLOv11,large
a1_t2s,yolo11x,56.9,32,5,1,0.0405,0.1106,0.2423,0.1453,0.1817,709,601,257,YOLOv11,large
a1_t2s,yolo11x,56.9,128,5,1,0.0954,0.2044,0.3742,0.183,0.2458,709,586,168,YOLOv11,large
a1_t2s,yolo11x,56.9,500,5,1,0.1062,0.1877,0.4622,0.1918,0.2711,709,554,228,YOLOv11,large
a2_s2t,yolo11x,56.9,32,5,1,0.1192,0.2692,0.3778,0.2705,0.3153,451,333,103,YOLOv11,large
a2_s2t,yolo11x,56.9,128,5,1,0.1833,0.3932,0.597,0.3503,0.4416,451,306,54,YOLOv11,large
a2_s2t,yolo11x,56.9,500,5,1,0.3191,0.5851,0.6971,0.5055,0.5861,451,206,96,YOLOv11,large
b_light,yolo11x,56.9,32,5,1,0.3659,0.6456,0.8005,0.5573,0.6571,436,195,43,YOLOv11,large
b_light,yolo11x,56.9,128,5,1,0.4656,0.7137,0.8939,0.5986,0.7171,436,165,36,YOLOv11,large
b_light,yolo11x,56.9,500,5,1,0.5366,0.8067,0.8931,0.7279,0.8021,436,112,34,YOLOv11,large
0_all,rtdetr-x,86.0,32,5,1,0.4443,0.7828,0.8145,0.7227,0.7659,1160,234,412,DETR,large
0_all,rtdetr-x,86.0,128,5,1,0.5765,0.8802,0.9191,0.8198,0.8666,1160,151,258,DETR,large
0_all,rtdetr-x,86.0,500,5,1,0.4417,0.7642,0.8578,0.6759,0.7561,1160,236,609,DETR,large
a1_t2s,rtdetr-x,86.0,32,5,1,0.1171,0.2139,0.4999,0.2116,0.2973,709,520,405,DETR,large
a1_t2s,rtdetr-x,86.0,128,5,1,0.1102,0.219,0.4986,0.213,0.2985,709,514,319,DETR,large
a1_t2s,rtdetr-x,86.0,500,5,1,0.1347,0.2367,0.5245,0.2355,0.3251,709,510,315,DETR,large
a2_s2t,rtdetr-x,86.0,32,5,1,0.2918,0.5852,0.7061,0.5539,0.6208,451,162,235,DETR,large
a2_s2t,rtdetr-x,86.0,128,5,1,0.3059,0.586,0.587,0.5829,0.5849,451,120,473,DETR,large
a2_s2t,rtdetr-x,86.0,500,5,1,0.2791,0.5338,0.656,0.4767,0.5522,451,136,744,DETR,large
b_light,rtdetr-x,86.0,32,5,1,0.4114,0.6982,0.8708,0.6284,0.73,436,126,163,DETR,large
b_light,rtdetr-x,86.0,128,5,1,0.4763,0.7449,0.8408,0.6835,0.754,436,99,296,DETR,large
b_light,rtdetr-x,86.0,500,5,1,0.5225,0.8296,0.8472,0.7477,0.7944,436,54,301,DETR,large
0_all,rtdetr-l,45.0,32,5,1,0.4857,0.7938,0.8099,0.7267,0.766,1160,217,691,DETR,small
0_all,rtdetr-l,45.0,128,5,1,0.5238,0.8404,0.8775,0.7654,0.8176,1160,175,430,DETR,small
0_all,rtdetr-l,45.0,500,5,1,0.6259,0.9283,0.9292,0.8526,0.8893,1160,79,367,DETR,small
a1_t2s,rtdetr-l,45.0,32,5,1,0.046,0.1024,0.2993,0.1142,0.1654,709,627,125,DETR,small
a1_t2s,rtdetr-l,45.0,128,5,1,0.1245,0.227,0.5854,0.2012,0.2994,709,529,229,DETR,small
a1_t2s,rtdetr-l,45.0,500,5,1,0.1619,0.2852,0.5674,0.2609,0.3575,709,484,290,DETR,small
a2_s2t,rtdetr-l,45.0,32,5,1,0.4144,0.6983,0.7897,0.591,0.676,451,85,935,DETR,small
a2_s2t,rtdetr-l,45.0,128,5,1,0.3596,0.6377,0.6895,0.5712,0.6248,451,113,510,DETR,small
a2_s2t,rtdetr-l,45.0,500,5,1,0.4624,0.754,0.8377,0.6982,0.7616,451,100,201,DETR,small
b_light,rtdetr-l,45.0,32,5,1,0.3868,0.6665,0.8655,0.5903,0.7019,436,158,79,DETR,small
b_light,rtdetr-l,45.0,128,5,1,0.4476,0.7525,0.8281,0.7064,0.7624,436,103,244,DETR,small
b_light,rtdetr-l,45.0,500,5,1,0.5412,0.8338,0.8225,0.8186,0.8205,436,49,568,DETR,small
0_all,yolo12n,2.6,32,5,1,0.4344,0.7563,0.7756,0.6828,0.7262,1160,347,212,YOLOv12,small
0_all,yolo12n,2.6,128,5,1,0.57,0.8714,0.8795,0.794,0.8346,1160,224,108,YOLOv12,small
0_all,yolo12n,2.6,500,5,1,0.6179,0.9343,0.9262,0.8547,0.889,1160,99,220,YOLOv12,small
a1_t2s,yolo12n,2.6,32,5,1,0.0282,0.0768,0.1664,0.0846,0.1122,709,647,152,YOLOv12,small
a1_t2s,yolo12n,2.6,128,5,1,0.1102,0.2196,0.4522,0.189,0.2666,709,561,187,YOLOv12,small
a1_t2s,yolo12n,2.6,500,5,1,0.1131,0.2307,0.3882,0.2345,0.2924,709,538,233,YOLOv12,small
a2_s2t,yolo12n,2.6,32,5,1,0.1328,0.2647,0.4789,0.2181,0.2997,451,372,48,YOLOv12,small
a2_s2t,yolo12n,2.6,128,5,1,0.2617,0.5297,0.6431,0.4501,0.5296,451,269,57,YOLOv12,small
a2_s2t,yolo12n,2.6,500,5,1,0.287,0.5384,0.6569,0.4789,0.554,451,188,212,YOLOv12,small
b_light,yolo12n,2.6,32,5,1,0.3088,0.5462,0.7291,0.5,0.5932,436,222,61,YOLOv12,small
b_light,yolo12n,2.6,128,5,1,0.484,0.7518,0.853,0.6583,0.7431,436,147,47,YOLOv12,small
b_light,yolo12n,2.6,500,5,1,0.5146,0.8066,0.8962,0.7064,0.7901,436,97,106,YOLOv12,small
0_all,yolo11n,2.6,32,5,1,0.4544,0.7446,0.7813,0.622,0.6926,1160,482,106,YOLOv11,small
0_all,yolo11n,2.6,128,5,1,0.5847,0.8812,0.8988,0.7931,0.8426,1160,220,99,YOLOv11,small
0_all,yolo11n,2.6,500,5,1,0.626,0.931,0.9156,0.8514,0.8823,1160,97,218,YOLOv11,small
a1_t2s,yolo11n,2.6,32,5,1,0.0314,0.0678,0.1985,0.0635,0.0962,709,666,70,YOLOv11,small
a1_t2s,yolo11n,2.6,128,5,1,0.0969,0.2053,0.4029,0.1975,0.265,709,577,137,YOLOv11,small
a1_t2s,yolo11n,2.6,500,5,1,0.126,0.2277,0.5563,0.1946,0.2884,709,558,148,YOLOv11,small
a2_s2t,yolo11n,2.6,32,5,1,0.1832,0.3742,0.5378,0.3096,0.3929,451,313,64,YOLOv11,small
a2_s2t,yolo11n,2.6,128,5,1,0.2921,0.5502,0.6947,0.4945,0.5778,451,240,70,YOLOv11,small
a2_s2t,yolo11n,2.6,500,5,1,0.336,0.6031,0.7511,0.5122,0.609,451,183,164,YOLOv11,small
b_light,yolo11n,2.6,32,5,1,0.3913,0.6545,0.7708,0.5573,0.6469,436,211,43,YOLOv11,small
b_light,yolo11n,2.6,128,5,1,0.5075,0.7804,0.8755,0.6936,0.774,436,129,35,YOLOv11,small
b_light,yolo11n,2.6,500,5,1,0.52,0.8158,0.8636,0.7202,0.7854,436,100,73,YOLOv11,small
0_all,yolo12x,59.1,32,5,2,0.4185,0.739,0.832,0.6181,0.7093,1160,418,152,YOLOv12,large
0_all,yolo12x,59.1,128,5,2,0.5379,0.8718,0.9,0.7759,0.8333,1160,189,176,YOLOv12,large
0_all,yolo12x,59.1,500,5,2,0.6239,0.9193,0.9314,0.8267,0.8759,1160,132,139,YOLOv12,large
a1_t2s,yolo12x,59.1,32,5,2,0.0571,0.1266,0.1713,0.1044,0.1297,709,667,60,YOLOv12,large
a1_t2s,yolo12x,59.1,128,5,2,0.1152,0.2215,0.4787,0.1775,0.259,709,595,78,YOLOv12,large
a1_t2s,yolo12x,59.1,500,5,2,0.0923,0.1974,0.5371,0.1784,0.2678,709,567,180,YOLOv12,large
a2_s2t,yolo12x,59.1,32,5,2,0.0836,0.1983,0.3684,0.2264,0.2804,451,409,21,YOLOv12,large
a2_s2t,yolo12x,59.1,128,5,2,0.2055,0.4703,0.6522,0.3947,0.4918,451,208,211,YOLOv12,large
a2_s2t,yolo12x,59.1,500,5,2,0.365,0.6529,0.775,0.5521,0.6448,451,159,172,YOLOv12,large
b_light,yolo12x,59.1,32,5,2,0.4008,0.6934,0.8254,0.6399,0.7209,436,128,197,YOLOv12,large
b_light,yolo12x,59.1,128,5,2,0.494,0.7625,0.8833,0.633,0.7375,436,152,62,YOLOv12,large
b_light,yolo12x,59.1,500,5,2,0.5111,0.8047,0.9121,0.7377,0.8157,436,109,42,YOLOv12,large
0_all,yolo11x,56.9,32,5,2,0.3905,0.731,0.7656,0.656,0.7066,1160,230,743,YOLOv11,large
0_all,yolo11x,56.9,128,5,2,0.5663,0.8576,0.8797,0.7517,0.8107,1160,285,101,YOLOv11,large
0_all,yolo11x,56.9,500,5,2,0.6328,0.9244,0.9269,0.8419,0.8823,1160,139,115,YOLOv11,large
a1_t2s,yolo11x,56.9,32,5,2,0.0329,0.0873,0.1228,0.11,0.1161,709,666,103,YOLOv11,large
a1_t2s,yolo11x,56.9,128,5,2,0.0549,0.1327,0.365,0.1354,0.1975,709,602,160,YOLOv11,large
a1_t2s,yolo11x,56.9,500,5,2,0.0997,0.1807,0.4171,0.1608,0.2321,709,580,225,YOLOv11,large
a2_s2t,yolo11x,56.9,32,5,2,0.102,0.2706,0.4394,0.2882,0.3481,451,334,72,YOLOv11,large
a2_s2t,yolo11x,56.9,128,5,2,0.2383,0.4664,0.6608,0.4061,0.503,451,280,45,YOLOv11,large
a2_s2t,yolo11x,56.9,500,5,2,0.2348,0.4789,0.6505,0.4058,0.4998,451,200,290,YOLOv11,large
b_light,yolo11x,56.9,32,5,2,0.3385,0.6006,0.7349,0.5468,0.6271,436,164,245,YOLOv11,large
b_light,yolo11x,56.9,128,5,2,0.4739,0.7276,0.8865,0.6272,0.7347,436,148,55,YOLOv11,large
b_light,yolo11x,56.9,500,5,2,0.509,0.7776,0.8762,0.6818,0.7669,436,131,51,YOLOv11,large
0_all,rtdetr-x,86.0,32,5,2,0.4429,0.7647,0.8387,0.675,0.748,1160,227,741,DETR,large
0_all,rtdetr-x,86.0,128,5,2,0.5638,0.8809,0.9086,0.7974,0.8494,1160,124,460,DETR,large
0_all,rtdetr-x,86.0,500,5,2,0.6213,0.924,0.9261,0.8426,0.8824,1160,98,255,DETR,large
a1_t2s,rtdetr-x,86.0,32,5,2,0.0761,0.1552,0.4967,0.1523,0.2332,709,569,272,DETR,large
a1_t2s,rtdetr-x,86.0,128,5,2,0.1206,0.2173,0.5264,0.2085,0.2987,709,549,138,DETR,large
a1_t2s,rtdetr-x,86.0,500,5,2,0.155,0.2638,0.4642,0.268,0.3398,709,494,332,DETR,large
a2_s2t,rtdetr-x,86.0,32,5,2,0.2716,0.5498,0.611,0.4946,0.5467,451,115,889,DETR,large
a2_s2t,rtdetr-x,86.0,128,5,2,0.2184,0.4671,0.5782,0.4377,0.4983,451,135,1098,DETR,large
a2_s2t,rtdetr-x,86.0,500,5,2,0.3558,0.649,0.6683,0.6031,0.6341,451,109,425,DETR,large
b_light,rtdetr-x,86.0,32,5,2,0.3896,0.6851,0.8437,0.6316,0.7224,436,144,61,DETR,large
b_light,rtdetr-x,86.0,128,5,2,0.4351,0.7143,0.8421,0.6604,0.7403,436,113,255,DETR,large
b_light,rtdetr-x,86.0,500,5,2,0.5349,0.8179,0.8856,0.7477,0.8108,436,89,131,DETR,large
0_all,rtdetr-l,45.0,32,5,2,0.4875,0.7862,0.8042,0.725,0.7626,1160,182,890,DETR,small
0_all,rtdetr-l,45.0,128,5,2,0.5487,0.8771,0.8845,0.8185,0.8502,1160,154,281,DETR,small
0_all,rtdetr-l,45.0,500,5,2,0.6163,0.925,0.9315,0.8437,0.8854,1160,59,892,DETR,small
a1_t2s,rtdetr-l,45.0,32,5,2,0.0595,0.1461,0.3507,0.1721,0.2309,709,543,705,DETR,small
a1_t2s,rtdetr-l,45.0,128,5,2,0.1416,0.2809,0.5143,0.2722,0.356,709,448,598,DETR,small
a1_t2s,rtdetr-l,45.0,500,5,2,0.1035,0.1834,0.5828,0.1721,0.2657,709,561,242,DETR,small
a2_s2t,rtdetr-l,45.0,32,5,2,0.2164,0.4406,0.6279,0.3705,0.466,451,248,192,DETR,small
a2_s2t,rtdetr-l,45.0,128,5,2,0.3883,0.733,0.79,0.6755,0.7283,451,96,316,DETR,small
a2_s2t,rtdetr-l,45.0,500,5,2,0.4622,0.752,0.8327,0.6734,0.7447,451,93,268,DETR,small
b_light,rtdetr-l,45.0,32,5,2,0.383,0.6731,0.8568,0.5826,0.6936,436,130,287,DETR,small
b_light,rtdetr-l,45.0,128,5,2,0.4498,0.7229,0.8272,0.6258,0.7125,436,109,220,DETR,small
b_light,rtdetr-l,45.0,500,5,2,0.5175,0.8001,0.8785,0.713,0.7871,436,88,133,DETR,small
0_all,yolo12n,2.6,32,5,2,0.4228,0.7743,0.8271,0.701,0.7588,1160,206,697,YOLOv12,small
0_all,yolo12n,2.6,128,5,2,0.5163,0.8569,0.8628,0.7897,0.8246,1160,192,228,YOLOv12,small
0_all,yolo12n,2.6,500,5,2,0.6129,0.9253,0.8933,0.8655,0.8792,1160,121,158,YOLOv12,small
a1_t2s,yolo12n,2.6,32,5,2,0.049,0.1161,0.2849,0.1086,0.1573,709,640,101,YOLOv12,small
a1_t2s,yolo12n,2.6,128,5,2,0.089,0.201,0.486,0.1537,0.2336,709,594,101,YOLOv12,small
a1_t2s,yolo12n,2.6,500,5,2,0.1507,0.2777,0.4845,0.2708,0.3474,709,498,237,YOLOv12,small
a2_s2t,yolo12n,2.6,32,5,2,0.1043,0.2636,0.3849,0.2512,0.304,451,329,128,YOLOv12,small
a2_s2t,yolo12n,2.6,128,5,2,0.2769,0.5288,0.673,0.4882,0.5659,451,240,63,YOLOv12,small
a2_s2t,yolo12n,2.6,500,5,2,0.2794,0.5406,0.7186,0.4435,0.5485,451,205,172,YOLOv12,small
b_light,yolo12n,2.6,32,5,2,0.3407,0.6246,0.7611,0.5826,0.66,436,137,343,YOLOv12,small
b_light,yolo12n,2.6,128,5,2,0.4962,0.7766,0.9351,0.6743,0.7836,436,123,53,YOLOv12,small
b_light,yolo12n,2.6,500,5,2,0.5188,0.821,0.8533,0.7615,0.8048,436,91,88,YOLOv12,small
0_all,yolo11n,2.6,32,5,2,0.4223,0.7561,0.8193,0.6723,0.7386,1160,290,298,YOLOv11,small
0_all,yolo11n,2.6,128,5,2,0.5716,0.8784,0.872,0.7929,0.8306,1160,223,128,YOLOv11,small
0_all,yolo11n,2.6,500,5,2,0.6131,0.92,0.8952,0.8474,0.8706,1160,103,281,YOLOv11,small
a1_t2s,yolo11n,2.6,32,5,2,0.0572,0.1345,0.2746,0.1425,0.1876,709,594,262,YOLOv11,small
a1_t2s,yolo11n,2.6,128,5,2,0.0962,0.2042,0.3324,0.2087,0.2565,709,572,212,YOLOv11,small
a1_t2s,yolo11n,2.6,500,5,2,0.0931,0.1879,0.4699,0.1777,0.2579,709,572,150,YOLOv11,small
a2_s2t,yolo11n,2.6,32,5,2,0.0779,0.2086,0.3779,0.2417,0.2948,451,354,92,YOLOv11,small
a2_s2t,yolo11n,2.6,128,5,2,0.2918,0.5382,0.7102,0.4701,0.5657,451,245,57,YOLOv11,small
a2_s2t,yolo11n,2.6,500,5,2,0.3448,0.6281,0.7122,0.5761,0.637,451,137,196,YOLOv11,small
b_light,yolo11n,2.6,32,5,2,0.3844,0.6914,0.8296,0.6055,0.7001,436,152,119,YOLOv11,small
b_light,yolo11n,2.6,128,5,2,0.51,0.801,0.8355,0.7248,0.7762,436,111,65,YOLOv11,small
b_light,yolo11n,2.6,500,5,2,0.5302,0.8411,0.8798,0.7317,0.7989,436,101,70,YOLOv11,small
0_all,yolo12x,59.1,32,3,1,0.3889,0.7018,0.7494,0.6466,0.6942,1160,389,220,YOLOv12,large
0_all,yolo12x,59.1,128,3,1,0.5533,0.8711,0.8993,0.7836,0.8375,1160,228,109,YOLOv12,large
0_all,yolo12x,59.1,500,3,1,0.6315,0.941,0.8947,0.8859,0.8903,1160,101,161,YOLOv12,large
a1_t2s,yolo12x,59.1,32,3,1,0.0785,0.1713,0.4201,0.1763,0.2484,709,568,274,YOLOv12,large
a1_t2s,yolo12x,59.1,128,3,1,0.0948,0.1867,0.4042,0.165,0.2344,709,581,181,YOLOv12,large
a1_t2s,yolo12x,59.1,500,3,1,0.1111,0.2071,0.4267,0.2045,0.2765,709,532,310,YOLOv12,large
a2_s2t,yolo12x,59.1,32,3,1,0.1305,0.3578,0.4536,0.4363,0.4448,451,203,395,YOLOv12,large
a2_s2t,yolo12x,59.1,128,3,1,0.2662,0.5229,0.6586,0.4989,0.5677,451,226,96,YOLOv12,large
a2_s2t,yolo12x,59.1,500,3,1,0.2313,0.4648,0.6027,0.4368,0.5065,451,173,379,YOLOv12,large
b_light,yolo12x,59.1,32,3,1,0.398,0.6942,0.7773,0.6403,0.7021,436,125,211,YOLOv12,large
b_light,yolo12x,59.1,128,3,1,0.4636,0.7681,0.8327,0.7087,0.7657,436,110,79,YOLOv12,large
b_light,yolo12x,59.1,500,3,1,0.5112,0.7955,0.8762,0.7271,0.7947,436,111,66,YOLOv12,large
0_all,yolo11x,56.9,32,3,1,0.404,0.696,0.8298,0.5845,0.6859,1160,480,96,YOLOv11,large
0_all,yolo11x,56.9,128,3,1,0.5843,0.8785,0.8946,0.7905,0.8393,1160,246,89,YOLOv11,large
0_all,yolo11x,56.9,500,3,1,0.6385,0.9296,0.9123,0.8698,0.8905,1160,146,94,YOLOv11,large
a1_t2s,yolo11x,56.9,32,3,1,0.0409,0.1094,0.2721,0.1326,0.1783,709,591,431,YOLOv11,large
a1_t2s,yolo11x,56.9,128,3,1,0.1099,0.207,0.381,0.1777,0.2424,709,579,182,YOLOv11,large
a1_t2s,yolo11x,56.9,500,3,1,0.1014,0.1862,0.4002,0.1735,0.242,709,565,271,YOLOv11,large
a2_s2t,yolo11x,56.9,32,3,1,0.1307,0.3379,0.4832,0.3215,0.3861,451,274,193,YOLOv11,large
a2_s2t,yolo11x,56.9,128,3,1,0.2522,0.4594,0.7051,0.4013,0.5115,451,273,36,YOLOv11,large
a2_s2t,yolo11x,56.9,500,3,1,0.2755,0.5447,0.7024,0.4834,0.5726,451,221,120,YOLOv11,large
b_light,yolo11x,56.9,32,3,1,0.3593,0.6315,0.8233,0.5252,0.6413,436,191,79,YOLOv11,large
b_light,yolo11x,56.9,128,3,1,0.4625,0.7291,0.8999,0.6185,0.7331,436,131,92,YOLOv11,large
b_light,yolo11x,56.9,500,3,1,0.53,0.8245,0.8828,0.7426,0.8066,436,88,92,YOLOv11,large
0_all,rtdetr-x,86.0,32,3,1,0.4337,0.7336,0.855,0.686,0.7612,1160,331,171,DETR,large
0_all,rtdetr-x,86.0,128,3,1,0.4287,0.7485,0.8034,0.6397,0.7122,1160,167,1633,DETR,large
0_all,rtdetr-x,86.0,500,3,1,0.6244,0.9323,0.9236,0.8442,0.8821,1160,53,620,DETR,large
a1_t2s,rtdetr-x,86.0,32,3,1,0.0824,0.1544,0.4394,0.1608,0.2354,709,584,189,DETR,large
a1_t2s,rtdetr-x,86.0,128,3,1,0.0979,0.1847,0.3443,0.2327,0.2777,709,524,398,DETR,large
a1_t2s,rtdetr-x,86.0,500,3,1,0.139,0.2479,0.5091,0.2609,0.345,709,476,551,DETR,large
a2_s2t,rtdetr-x,86.0,32,3,1,0.1742,0.39,0.6315,0.3457,0.4468,451,255,213,DETR,large
a2_s2t,rtdetr-x,86.0,128,3,1,0.3675,0.6375,0.6872,0.5765,0.627,451,119,419,DETR,large
a2_s2t,rtdetr-x,86.0,500,3,1,0.4524,0.7429,0.7871,0.6804,0.7299,451,92,378,DETR,large
b_light,rtdetr-x,86.0,32,3,1,0.447,0.7196,0.8683,0.6537,0.7459,436,102,335,DETR,large
b_light,rtdetr-x,86.0,128,3,1,0.4279,0.7038,0.8524,0.6095,0.7108,436,132,210,DETR,large
b_light,rtdetr-x,86.0,500,3,1,0.415,0.6954,0.7561,0.6124,0.6767,436,76,709,DETR,large
0_all,rtdetr-l,45.0,32,3,1,0.4802,0.7834,0.8692,0.7106,0.782,1160,287,179,DETR,small
0_all,rtdetr-l,45.0,128,3,1,0.5588,0.8832,0.8891,0.8289,0.8579,1160,111,578,DETR,small
0_all,rtdetr-l,45.0,500,3,1,0.6147,0.919,0.9011,0.8612,0.8807,1160,62,636,DETR,small
a1_t2s,rtdetr-l,45.0,32,3,1,0.1015,0.2105,0.3412,0.2299,0.2747,709,532,275,DETR,small
a1_t2s,rtdetr-l,45.0,128,3,1,0.1198,0.2371,0.5085,0.237,0.3233,709,525,204,DETR,small
a1_t2s,rtdetr-l,45.0,500,3,1,0.1661,0.2965,0.4597,0.2863,0.3529,709,475,332,DETR,small
a2_s2t,rtdetr-l,45.0,32,3,1,0.233,0.4972,0.6752,0.4678,0.5527,451,182,647,DETR,small
a2_s2t,rtdetr-l,45.0,128,3,1,0.4236,0.7102,0.7924,0.6142,0.692,451,105,332,DETR,small
a2_s2t,rtdetr-l,45.0,500,3,1,0.4038,0.6569,0.751,0.5565,0.6393,451,114,425,DETR,small
b_light,rtdetr-l,45.0,32,3,1,0.4395,0.7175,0.8409,0.6307,0.7208,436,110,203,DETR,small
b_light,rtdetr-l,45.0,128,3,1,0.4403,0.7178,0.862,0.6055,0.7113,436,104,388,DETR,small
b_light,rtdetr-l,45.0,500,3,1,0.5167,0.8053,0.869,0.7,0.7754,436,78,183,DETR,small
0_all,yolo12n,2.6,32,3,1,0.4397,0.7632,0.8025,0.6888,0.7413,1160,333,207,YOLOv12,small
0_all,yolo12n,2.6,128,3,1,0.5527,0.8705,0.8882,0.8013,0.8425,1160,203,156,YOLOv12,small
0_all,yolo12n,2.6,500,3,1,0.6078,0.9264,0.8912,0.8682,0.8795,1160,103,201,YOLOv12,small
a1_t2s,yolo12n,2.6,32,3,1,0.0448,0.1117,0.2298,0.1072,0.1462,709,641,160,YOLOv12,small
a1_t2s,yolo12n,2.6,128,3,1,0.1043,0.2133,0.4123,0.165,0.2357,709,600,80,YOLOv12,small
a1_t2s,yolo12n,2.6,500,3,1,0.1209,0.2268,0.3781,0.2341,0.2892,709,540,223,YOLOv12,small
a2_s2t,yolo12n,2.6,32,3,1,0.0958,0.2105,0.4595,0.1663,0.2442,451,386,39,YOLOv12,small
a2_s2t,yolo12n,2.6,128,3,1,0.2495,0.456,0.7037,0.4279,0.5322,451,257,64,YOLOv12,small
a2_s2t,yolo12n,2.6,500,3,1,0.3559,0.6504,0.7683,0.5743,0.6573,451,159,150,YOLOv12,small
b_light,yolo12n,2.6,32,3,1,0.4022,0.6688,0.7641,0.594,0.6684,436,176,49,YOLOv12,small
b_light,yolo12n,2.6,128,3,1,0.4741,0.7565,0.8723,0.672,0.7592,436,136,49,YOLOv12,small
b_light,yolo12n,2.6,500,3,1,0.5238,0.8208,0.8983,0.7271,0.8037,436,88,77,YOLOv12,small
0_all,yolo11n,2.6,32,3,1,0.4437,0.7473,0.8435,0.631,0.7219,1160,439,98,YOLOv11,small
0_all,yolo11n,2.6,128,3,1,0.5767,0.8936,0.918,0.7916,0.8502,1160,205,129,YOLOv11,small
0_all,yolo11n,2.6,500,3,1,0.6293,0.9275,0.9196,0.8595,0.8885,1160,125,131,YOLOv11,small
a1_t2s,yolo11n,2.6,32,3,1,0.086,0.1736,0.2722,0.1749,0.2129,709,595,190,YOLOv11,small
a1_t2s,yolo11n,2.6,128,3,1,0.113,0.2226,0.6124,0.1735,0.2704,709,581,86,YOLOv11,small
a1_t2s,yolo11n,2.6,500,3,1,0.119,0.2151,0.5401,0.2045,0.2967,709,552,170,YOLOv11,small
a2_s2t,yolo11n,2.6,32,3,1,0.1128,0.2557,0.4185,0.2639,0.3237,451,321,202,YOLOv11,small
a2_s2t,yolo11n,2.6,128,3,1,0.2364,0.4438,0.6517,0.3659,0.4686,451,289,41,YOLOv11,small
a2_s2t,yolo11n,2.6,500,3,1,0.3285,0.5983,0.7765,0.5188,0.622,451,169,189,YOLOv11,small
b_light,yolo11n,2.6,32,3,1,0.3943,0.6962,0.7581,0.6216,0.6831,436,139,126,YOLOv11,small
b_light,yolo11n,2.6,128,3,1,0.486,0.7754,0.8525,0.729,0.7859,436,120,41,YOLOv11,small
b_light,yolo11n,2.6,500,3,1,0.5014,0.8109,0.8624,0.7271,0.789,436,110,73,YOLOv11,small
0_all,yolo12x,59.1,32,3,2,0.4239,0.7186,0.7979,0.6026,0.6866,1160,501,90,YOLOv12,large
0_all,yolo12x,59.1,128,3,2,0.5351,0.8811,0.9011,0.7854,0.8393,1160,167,237,YOLOv12,large
0_all,yolo12x,59.1,500,3,2,0.6294,0.9322,0.9034,0.8647,0.8836,1160,125,126,YOLOv12,large
a1_t2s,yolo12x,59.1,32,3,2,0.0625,0.1431,0.3009,0.1213,0.1729,709,634,92,YOLOv12,large
a1_t2s,yolo12x,59.1,128,3,2,0.1144,0.2117,0.3795,0.189,0.2523,709,589,141,YOLOv12,large
a1_t2s,yolo12x,59.1,500,3,2,0.1152,0.2069,0.3859,0.213,0.2745,709,550,247,YOLOv12,large
a2_s2t,yolo12x,59.1,32,3,2,0.1063,0.2628,0.3727,0.3126,0.3401,451,332,112,YOLOv12,large
a2_s2t,yolo12x,59.1,128,3,2,0.229,0.4333,0.7238,0.395,0.5111,451,286,31,YOLOv12,large
a2_s2t,yolo12x,59.1,500,3,2,0.3425,0.6088,0.6515,0.5765,0.6117,451,143,288,YOLOv12,large
b_light,yolo12x,59.1,32,3,2,0.3527,0.6466,0.8053,0.5573,0.6588,436,153,161,YOLOv12,large
b_light,yolo12x,59.1,128,3,2,0.4528,0.7119,0.8179,0.6595,0.7302,436,135,87,YOLOv12,large
b_light,yolo12x,59.1,500,3,2,0.5511,0.8283,0.8945,0.7271,0.8021,436,89,83,YOLOv12,large
0_all,yolo11x,56.9,32,3,2,0.4199,0.7367,0.8614,0.6485,0.7399,1160,372,137,YOLOv11,large
