data,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
b_light,rtdetr-l,45.0,32,4,2,0.4556,0.7676,0.8219,0.7302,0.7733,436,85,322,DETR,small
b_light,rtdetr-l,45.0,128,4,2,0.4701,0.7634,0.806,0.7087,0.7542,436,92,192,DETR,small
b_light,rtdetr-l,45.0,500,4,2,0.4473,0.6949,0.7498,0.6514,0.6971,436,124,148,DETR,small
0_all,yolo12n,2.6,32,4,2,0.4164,0.7526,0.8295,0.6668,0.7393,1160,272,356,YOLOv12,small
0_all,yolo12n,2.6,128,4,2,0.5672,0.8773,0.8877,0.7974,0.8401,1160,218,113,YOLOv12,small
0_all,yolo12n,2.6,500,4,2,0.6103,0.9287,0.913,0.8664,0.8891,1160,96,221,YOLOv12,small
a1_t2s,yolo12n,2.6,32,4,2,0.045,0.1182,0.2588,0.1157,0.1599,709,636,109,YOLOv12,small
a1_t2s,yolo12n,2.6,128,4,2,0.0774,0.1746,0.3841,0.1523,0.2181,709,597,126,YOLOv12,small
a1_t2s,yolo12n,2.6,500,4,2,0.1418,0.27,0.5482,0.2609,0.3536,709,512,183,YOLOv12,small
a2_s2t,yolo12n,2.6,32,4,2,0.1125,0.2409,0.3127,0.2927,0.3024,451,317,251,YOLOv12,small
a2_s2t,yolo12n,2.6,128,4,2,0.2019,0.4107,0.5677,0.388,0.461,451,281,94,YOLOv12,small
a2_s2t,yolo12n,2.6,500,4,2,0.3256,0.6121,0.7154,0.5455,0.619,451,178,161,YOLOv12,small
b_light,yolo12n,2.6,32,4,2,0.3277,0.5743,0.7037,0.5338,0.6071,436,199,90,YOLOv12,small
b_light,yolo12n,2.6,128,4,2,0.4779,0.7276,0.8919,0.6436,0.7477,436,140,71,YOLOv12,small
b_light,yolo12n,2.6,500,4,2,0.4961,0.7811,0.8917,0.6984,0.7833,436,111,103,YOLOv12,small
0_all,yolo11n,2.6,32,4,2,0.4228,0.7673,0.846,0.6897,0.7599,1160,264,492,YOLOv11,small
0_all,yolo11n,2.6,128,4,2,0.5511,0.8701,0.8976,0.7931,0.8421,1160,202,157,YOLOv11,small
0_all,yolo11n,2.6,500,4,2,0.6223,0.9294,0.9081,0.8775,0.8925,1160,108,153,YOLOv11,small
a1_t2s,yolo11n,2.6,32,4,2,0.0701,0.1615,0.1753,0.1481,0.1606,709,641,63,YOLOv11,small
a1_t2s,yolo11n,2.6,128,4,2,0.0978,0.2101,0.3964,0.1791,0.2468,709,586,91,YOLOv11,small
a1_t2s,yolo11n,2.6,500,4,2,0.1092,0.216,0.4742,0.1975,0.2788,709,547,206,YOLOv11,small
a2_s2t,yolo11n,2.6,32,4,2,0.1539,0.3188,0.4614,0.3001,0.3637,451,348,55,YOLOv11,small
a2_s2t,yolo11n,2.6,128,4,2,0.1853,0.3649,0.6333,0.3485,0.4496,451,298,52,YOLOv11,small
a2_s2t,yolo11n,2.6,500,4,2,0.2945,0.5591,0.7225,0.5033,0.5933,451,216,90,YOLOv11,small
b_light,yolo11n,2.6,32,4,2,0.3716,0.6674,0.7991,0.578,0.6708,436,171,70,YOLOv11,small
b_light,yolo11n,2.6,128,4,2,0.4878,0.7555,0.9077,0.6284,0.7427,436,132,77,YOLOv11,small
b_light,yolo11n,2.6,500,4,2,0.5221,0.8119,0.8774,0.7362,0.8006,436,98,86,YOLOv11,small
0_all,yolo12x,59.1,32,8,1,0.4371,0.7604,0.8215,0.6707,0.7385,1160,374,140,YOLOv12,large
0_all,yolo12x,59.1,128,8,1,0.5784,0.8688,0.8712,0.7888,0.8279,1160,270,79,YOLOv12,large
0_all,yolo12x,59.1,500,8,1,0.6358,0.9315,0.9111,0.8661,0.8881,1160,132,123,YOLOv12,large
a1_t2s,yolo12x,59.1,32,8,1,0.0751,0.1608,0.1854,0.1185,0.1446,709,654,35,YOLOv12,large
a1_t2s,yolo12x,59.1,128,8,1,0.1267,0.231,0.4598,0.1918,0.2707,709,563,178,YOLOv12,large
a1_t2s,yolo12x,59.1,500,8,1,0.1164,0.2083,0.382,0.1989,0.2616,709,551,279,YOLOv12,large
a2_s2t,yolo12x,59.1,32,8,1,0.1392,0.3025,0.4707,0.3282,0.3867,451,301,103,YOLOv12,large
a2_s2t,yolo12x,59.1,128,8,1,0.2068,0.4167,0.6539,0.3725,0.4746,451,300,44,YOLOv12,large
a2_s2t,yolo12x,59.1,500,8,1,0.3181,0.5749,0.6198,0.5455,0.5803,451,208,127,YOLOv12,large
b_light,yolo12x,59.1,32,8,1,0.2874,0.5259,0.7378,0.4587,0.5657,436,194,182,YOLOv12,large
b_light,yolo12x,59.1,128,8,1,0.4683,0.7522,0.8949,0.6445,0.7493,436,146,53,YOLOv12,large
b_light,yolo12x,59.1,500,8,1,0.5274,0.8243,0.885,0.7234,0.796,436,105,64,YOLOv12,large
0_all,yolo11x,56.9,32,8,1,0.4118,0.688,0.8165,0.5793,0.6777,1160,528,75,YOLOv11,large
0_all,yolo11x,56.9,128,8,1,0.5747,0.8565,0.905,0.7526,0.8218,1160,289,63,YOLOv11,large
0_all,yolo11x,56.9,500,8,1,0.6447,0.9412,0.9082,0.8874,0.8977,1160,112,118,YOLOv11,large
a1_t2s,yolo11x,56.9,32,8,1,0.048,0.0977,0.2602,0.0832,0.1261,709,656,77,YOLOv11,large
a1_t2s,yolo11x,56.9,128,8,1,0.1012,0.1915,0.3942,0.1707,0.2382,709,601,124,YOLOv11,large
a1_t2s,yolo11x,56.9,500,8,1,0.1067,0.1908,0.3919,0.1876,0.2537,709,553,300,YOLOv11,large
a2_s2t,yolo11x,56.9,32,8,1,0.139,0.33,0.3973,0.388,0.3926,451,237,305,YOLOv11,large
a2_s2t,yolo11x,56.9,128,8,1,0.2443,0.4842,0.6307,0.4506,0.5257,451,251,70,YOLOv11,large
a2_s2t,yolo11x,56.9,500,8,1,0.2675,0.4879,0.6473,0.4235,0.512,451,244,110,YOLOv11,large
b_light,yolo11x,56.9,32,8,1,0.3149,0.583,0.7252,0.5388,0.6182,436,185,107,YOLOv11,large
b_light,yolo11x,56.9,128,8,1,0.4886,0.7489,0.8667,0.6537,0.7453,436,141,55,YOLOv11,large
b_light,yolo11x,56.9,500,8,1,0.5217,0.8235,0.9336,0.6766,0.7846,436,109,71,YOLOv11,large
0_all,rtdetr-x,86.0,32,8,1,0.4906,0.7887,0.8703,0.7164,0.7859,1160,242,340,DETR,large
0_all,rtdetr-x,86.0,128,8,1,0.5746,0.8886,0.9131,0.7973,0.8513,1160,128,411,DETR,large
0_all,rtdetr-x,86.0,500,8,1,0.6165,0.919,0.9139,0.8647,0.8886,1160,85,329,DETR,large
a1_t2s,rtdetr-x,86.0,32,8,1,0.0745,0.1684,0.4693,0.1876,0.268,709,560,297,DETR,large
a1_t2s,rtdetr-x,86.0,128,8,1,0.1553,0.31,0.5434,0.3139,0.3979,709,465,261,DETR,large
a1_t2s,rtdetr-x,86.0,500,8,1,0.1449,0.2426,0.5691,0.2313,0.3289,709,507,388,DETR,large
a2_s2t,rtdetr-x,86.0,32,8,1,0.3369,0.61,0.7481,0.5465,0.6316,451,127,1091,DETR,large
a2_s2t,rtdetr-x,86.0,128,8,1,0.371,0.643,0.7302,0.5676,0.6387,451,94,799,DETR,large
a2_s2t,rtdetr-x,86.0,500,8,1,0.3421,0.6255,0.7841,0.5632,0.6555,451,121,996,DETR,large
b_light,rtdetr-x,86.0,32,8,1,0.3492,0.585,0.7697,0.5229,0.6228,436,146,536,DETR,large
b_light,rtdetr-x,86.0,128,8,1,0.4549,0.7314,0.8338,0.6468,0.7285,436,106,235,DETR,large
b_light,rtdetr-x,86.0,500,8,1,0.3112,0.5653,0.7101,0.4908,0.5805,436,128,826,DETR,large
0_all,rtdetr-l,45.0,32,8,1,0.4975,0.8094,0.8493,0.7655,0.8052,1160,196,405,DETR,small
0_all,rtdetr-l,45.0,128,8,1,0.5532,0.8751,0.8457,0.8315,0.8385,1160,140,286,DETR,small
0_all,rtdetr-l,45.0,500,8,1,0.6289,0.9335,0.9092,0.8723,0.8904,1160,61,412,DETR,small
a1_t2s,rtdetr-l,45.0,32,8,1,0.0776,0.147,0.3415,0.1509,0.2093,709,599,161,DETR,small
a1_t2s,rtdetr-l,45.0,128,8,1,0.108,0.2015,0.4303,0.2186,0.2899,709,520,288,DETR,small
a1_t2s,rtdetr-l,45.0,500,8,1,0.1225,0.2182,0.5149,0.2096,0.2979,709,535,300,DETR,small
a2_s2t,rtdetr-l,45.0,32,8,1,0.3277,0.5813,0.6842,0.4989,0.577,451,135,689,DETR,small
a2_s2t,rtdetr-l,45.0,128,8,1,0.4127,0.6884,0.767,0.6098,0.6794,451,113,308,DETR,small
a2_s2t,rtdetr-l,45.0,500,8,1,0.455,0.7695,0.8324,0.6696,0.7422,451,77,458,DETR,small
b_light,rtdetr-l,45.0,32,8,1,0.3924,0.6556,0.8393,0.5734,0.6813,436,149,172,DETR,small
b_light,rtdetr-l,45.0,128,8,1,0.446,0.7272,0.8756,0.6216,0.727,436,116,187,DETR,small
b_light,rtdetr-l,45.0,500,8,1,0.5191,0.7859,0.8572,0.711,0.7773,436,96,111,DETR,small
0_all,yolo12n,2.6,32,8,1,0.415,0.7525,0.8356,0.6789,0.7491,1160,268,543,YOLOv12,small
0_all,yolo12n,2.6,128,8,1,0.5396,0.8682,0.8619,0.8129,0.8367,1160,176,184,YOLOv12,small
0_all,yolo12n,2.6,500,8,1,0.615,0.9166,0.9055,0.856,0.8801,1160,123,172,YOLOv12,small
a1_t2s,yolo12n,2.6,32,8,1,0.0603,0.1574,0.1924,0.1354,0.1589,709,650,57,YOLOv12,small
a1_t2s,yolo12n,2.6,128,8,1,0.0827,0.1847,0.3494,0.1975,0.2523,709,580,169,YOLOv12,small
a1_t2s,yolo12n,2.6,500,8,1,0.1073,0.2212,0.3693,0.22,0.2758,709,559,172,YOLOv12,small
a2_s2t,yolo12n,2.6,32,8,1,0.2014,0.4446,0.5891,0.426,0.4944,451,210,294,YOLOv12,small
a2_s2t,yolo12n,2.6,128,8,1,0.2289,0.4475,0.5863,0.4501,0.5092,451,266,81,YOLOv12,small
a2_s2t,yolo12n,2.6,500,8,1,0.3119,0.5936,0.7204,0.5199,0.604,451,185,154,YOLOv12,small
b_light,yolo12n,2.6,32,8,1,0.3713,0.6769,0.7871,0.5935,0.6767,436,131,177,YOLOv12,small
b_light,yolo12n,2.6,128,8,1,0.4795,0.7612,0.8357,0.6884,0.755,436,136,42,YOLOv12,small
