data,pretrain,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
e_VT,True,rtdetr-l,45.0,16,5,3,0.456,0.7898,0.8162,0.6765,0.7398,408,93,160,DETR,small
e_VT,False,rtdetr-l,45.0,16,5,3,0.4618,0.7968,0.8409,0.7157,0.7733,408,79,139,DETR,small
e_IMU,True,yolo12n,2.6,16,5,3,0.3456,0.6377,0.6789,0.5656,0.6171,808,401,112,YOLOv12,small
e_IMU,False,yolo12n,2.6,16,5,3,0.3851,0.6992,0.7885,0.5903,0.6752,808,300,140,YOLOv12,small
e_VT,True,yolo12n,2.6,16,5,3,0.3521,0.6726,0.7406,0.6019,0.6641,408,104,316,YOLOv12,small
e_VT,False,yolo12n,2.6,16,5,3,0.4769,0.8189,0.7383,0.7402,0.7392,408,70,164,YOLOv12,small
e_IMU,True,yolo11n,2.6,16,5,3,0.3412,0.7018,0.7403,0.6337,0.6829,808,222,294,YOLOv11,small
e_IMU,False,yolo11n,2.6,16,5,3,0.3894,0.7262,0.7749,0.599,0.6757,808,314,119,YOLOv11,small
e_VT,True,yolo11n,2.6,16,5,3,0.4347,0.7499,0.814,0.6471,0.721,408,168,38,YOLOv11,small
e_VT,False,yolo11n,2.6,16,5,3,0.4708,0.8026,0.8323,0.7175,0.7706,408,81,145,YOLOv11,small
e_IMU,True,rtdetr-x,86.0,16,5,4,0.3031,0.6421,0.7047,0.5817,0.6373,808,248,429,DETR,large
e_IMU,False,rtdetr-x,86.0,16,5,4,0.3214,0.6657,0.7617,0.578,0.6572,808,237,434,DETR,large
e_VT,True,rtdetr-x,86.0,16,5,4,0.4108,0.7322,0.838,0.6465,0.7299,408,116,111,DETR,large
e_VT,False,rtdetr-x,86.0,16,5,4,0.5222,0.8306,0.851,0.7836,0.8159,408,60,125,DETR,large
e_IMU,True,rtdetr-l,45.0,16,5,4,0.3432,0.6864,0.7091,0.6485,0.6774,808,213,436,DETR,small
e_IMU,False,rtdetr-l,45.0,16,5,4,0.3146,0.6361,0.7336,0.5817,0.6489,808,265,328,DETR,small
e_VT,True,rtdetr-l,45.0,16,5,4,0.4506,0.7803,0.7807,0.7242,0.7514,408,89,171,DETR,small
e_VT,False,rtdetr-l,45.0,16,5,4,0.4708,0.805,0.8591,0.7598,0.8064,408,76,105,DETR,small
e_IMU,True,yolo12n,2.6,16,5,4,0.2125,0.5417,0.6493,0.5012,0.5657,808,261,724,YOLOv12,small
e_IMU,False,yolo12n,2.6,16,5,4,0.2861,0.6216,0.7039,0.5354,0.6082,808,293,326,YOLOv12,small
e_VT,True,yolo12n,2.6,16,5,4,0.4303,0.7375,0.7859,0.6388,0.7047,408,155,54,YOLOv12,small
e_VT,False,yolo12n,2.6,16,5,4,0.5123,0.8564,0.8725,0.7696,0.8178,408,64,112,YOLOv12,small
e_IMU,True,yolo11n,2.6,16,5,4,0.2583,0.5966,0.6793,0.5504,0.6081,808,249,624,YOLOv11,small
e_IMU,False,yolo11n,2.6,16,5,4,0.309,0.661,0.7674,0.5458,0.6379,808,260,354,YOLOv11,small
e_VT,True,yolo11n,2.6,16,5,4,0.4348,0.7527,0.7996,0.6747,0.7319,408,130,65,YOLOv11,small
e_VT,False,yolo11n,2.6,16,5,4,0.5166,0.817,0.862,0.723,0.7864,408,105,51,YOLOv11,small
e_IMU,True,rtdetr-x,86.0,16,5,5,0.3952,0.7381,0.8206,0.6572,0.7298,808,174,400,DETR,large
e_IMU,False,rtdetr-x,86.0,16,5,5,0.4237,0.7835,0.7852,0.7285,0.7558,808,119,546,DETR,large
e_VT,True,rtdetr-x,86.0,16,5,5,0.4331,0.787,0.8062,0.7402,0.7718,408,86,121,DETR,large
e_VT,False,rtdetr-x,86.0,16,5,5,0.5067,0.8378,0.8239,0.7912,0.8072,408,62,155,DETR,large
e_IMU,True,rtdetr-l,45.0,16,5,5,0.3984,0.7345,0.7546,0.6881,0.7198,808,203,281,DETR,small
e_IMU,False,rtdetr-l,45.0,16,5,5,0.3996,0.7398,0.7719,0.6869,0.7269,808,160,515,DETR,small
e_VT,True,rtdetr-l,45.0,16,5,5,0.4284,0.7596,0.8682,0.6446,0.7399,408,106,107,DETR,small
e_VT,False,rtdetr-l,45.0,16,5,5,0.4839,0.8174,0.7951,0.7134,0.752,408,41,563,DETR,small
e_IMU,True,yolo12n,2.6,16,5,5,0.3801,0.6944,0.7314,0.6213,0.6719,808,290,168,YOLOv12,small
